GKÇ FİDER ID;GKÇ TRAFO MERKEZİ ADI;FİDER ADI;İLİ;BÖLGE MÜDÜRLÜĞÜ;GERİLİM;ÖLÇÜM MODU;AÇIKLAMA;EŞLİ;AKTİF;GÜNCELLEYEN KULLANICI;GÜNCELLENME ZAMANI
2110;DDY ÇUMRA;154 kV KARATAY - ÇUMRA  E.İ. HATTI SAPLAMA ;KONYA;9. Bölge Müdürlüğü;154;PQ;;false;false;YÜK TEVZİ BİLGİ SİSTEMİ;25.04.2022 00:44
1890;DDY ETİMESGUT;154 kV TRANSFORMATÖR A;ANKARA;8. Bölge Müdürlüğü;154;PQ;;false;false;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
1891;DDY ETİMESGUT;154 kV TRANSFORMATÖR B;ANKARA;8. Bölge Müdürlüğü;154;PQ;;false;false;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
2085;DDY ETİMESGUT;24 kV TRANSFORMATÖR A;ANKARA;8. Bölge Müdürlüğü;33;PQ;;false;false;YÜK TEVZİ BİLGİ SİSTEMİ;04.07.2022 00:44
1896;DDY GÖZLÜ;154 kV TRANSFORMATÖR TR-1;KONYA;9. Bölge Müdürlüğü;154;PQ;;false;false;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
1897;DDY GÖZLÜ;154 kV TRANSFORMATÖR TR-2;KONYA;9. Bölge Müdürlüğü;154;PQ;;false;false;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
2119;DDY KARAMAN;154 kV DİANA OTEL GES - KARAMAN E.İ. HATTI SAPLAMA ;KONYA;9. Bölge Müdürlüğü;154;PQ;;false;false;YÜK TEVZİ BİLGİ SİSTEMİ;10.03.2025 00:44
1892;DDY KOCAHACILI;154 kV TRANSFORMATÖR A;ANKARA;8. Bölge Müdürlüğü;154;PQ;;false;false;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
1893;DDY KOCAHACILI;154 kV TRANSFORMATÖR B;ANKARA;8. Bölge Müdürlüğü;154;PQ;;false;false;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
1889;DDY MALİKÖY;154 kV TRANSFORMATÖR A;ANKARA;8. Bölge Müdürlüğü;154;PQ;;false;false;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
1977;DDY NENEK;154 kV TRANSFORMATÖR A;ANKARA;8. Bölge Müdürlüğü;154;PQ;;false;false;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
1862;DDY SAZAK;154 kV TRANSFORMATÖR A;ESKİŞEHİR;8. Bölge Müdürlüğü;154;PQ;;false;false;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
2535;ERCİYES RES;154 kV TRANSFORMATÖR A;KAYSERİ;11. Bölge Müdürlüğü;154;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;07.11.2022 00:44
272;ESENBOĞA;154 kV TRANSFORMATÖR A;ANKARA;8. Bölge Müdürlüğü;154;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
66;ESENBOĞA;33 kV TRANSFORMATÖR B;ANKARA;8. Bölge Müdürlüğü;33;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;04.07.2022 00:44
1198;ETİ SODA;154 kV BEYPAZARI;ANKARA;8. Bölge Müdürlüğü;154;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
1199;ETİ SODA;154 kV ÇAYIRHAN TES;ANKARA;8. Bölge Müdürlüğü;154;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
1439;GEYCEK RES;154 kV TRANSFORMATÖR A;KIRŞEHİR;11. Bölge Müdürlüğü;154;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
1440;GEYCEK RES;154 kV TRANSFORMATÖR B;KIRŞEHİR;11. Bölge Müdürlüğü;154;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
1882;GÖKÇEKAYA HES;10.5 kV GRUP 1;ESKİŞEHİR;6. Bölge Müdürlüğü;15;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;04.07.2022 00:44
1883;GÖKÇEKAYA HES;10.5 kV GRUP 2;ESKİŞEHİR;6. Bölge Müdürlüğü;15;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;04.07.2022 00:44
1884;GÖKÇEKAYA HES;10.5 kV GRUP 3;ESKİŞEHİR;6. Bölge Müdürlüğü;15;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;04.07.2022 00:44
1983;GÖKÇEKAYA HES;400 kV AKSA GÖYNÜK TES;ESKİŞEHİR;6. Bölge Müdürlüğü;380;PQ;;false;false;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
1982;GÖKÇEKAYA HES;400 kV ESKİŞEHİR 3;ESKİŞEHİR;6. Bölge Müdürlüğü;380;PQ;;false;false;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
1981;GÖKÇEKAYA HES;400 kV GÖLBAŞI;ESKİŞEHİR;6. Bölge Müdürlüğü;380;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
273;GÖLBAŞI;154 kV YEDEK 2;ANKARA;8. Bölge Müdürlüğü;154;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;15.07.2024 00:44
363;GÖLBAŞI;154 kV YEDEK 4;ANKARA;8. Bölge Müdürlüğü;154;PQ;;false;false;YÜK TEVZİ BİLGİ SİSTEMİ;15.07.2024 00:44
364;GÖLBAŞI;33 kV YEDEK ;ANKARA;8. Bölge Müdürlüğü;33;PQ;;false;false;YÜK TEVZİ BİLGİ SİSTEMİ;08.09.2025 00:44
274;GÖLBAŞI;33 kV YEDEK 50;ANKARA;8. Bölge Müdürlüğü;33;PQ;;false;false;YÜK TEVZİ BİLGİ SİSTEMİ;06.04.2026 00:44
362;GÖLBAŞI;400 kV GÖKÇEKAYA HES ;ANKARA;8. Bölge Müdürlüğü;380;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
23;GÖLBAŞI;400 kV İÇANADOLU DGKÇS;ANKARA;8. Bölge Müdürlüğü;380;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
25;GÖLBAŞI;400 kV KAYAŞ;ANKARA;8. Bölge Müdürlüğü;380;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;27.06.2022 00:44
361;GÖLBAŞI;400 kV KAYSERİ KAPASİTÖR GÜNEY;ANKARA;8. Bölge Müdürlüğü;380;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;06.03.2023 00:44
360;GÖLBAŞI;400 kV KAYSERİ KAPASİTÖR KUZEY;ANKARA;8. Bölge Müdürlüğü;380;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;06.03.2023 00:44
359;GÖLBAŞI;400 kV SİNCAN;ANKARA;8. Bölge Müdürlüğü;380;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;01.02.2022 12:20
1602;HACILAR;33 kV TRANSFORMATÖR C;KIRIKKALE;8. Bölge Müdürlüğü;33;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;04.07.2022 00:44
1603;HACILAR;33 kV TRANSFORMATÖR D;KIRIKKALE;8. Bölge Müdürlüğü;33;PQ;;true;true;YÜK TEVZİ BİLGİ SİSTEMİ;04.07.2022 00:44
